title,company,skills,link
Data Analyst,HR Empower Consultancy,"SQL , frameworks , XML , JavaScript , ETL , SPSS , SAS , problem solving skills , Analytical Skills",https://www.timesjobs.com/job-detail/data-analyst-hr-empower-consultancy-sonepat-yamunanagar-shimla-ranchi-thrissur-0-to-1-yrs-jobid-TKKjtYucsf5zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,NIRVANA DIGITAL STUDIOS PRIVATE LIMITED,"sql , python , Tableau , Microsoft Power BI , Looker Studio , google sheets , Microsoft Office Excel",https://www.timesjobs.com/job-detail/data-analyst-nirvana-digital-studios-private-limited-mumbai-2-to-4-yrs-jobid-hQYVaqSJ5P9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,HR Empower Consultancy,"SQL , frameworks , XML , JavaScript , ETL , SPSS , SAS , problem solving skills , Analytical Skills",https://www.timesjobs.com/job-detail/data-analyst-hr-empower-consultancy-vijayawada-mehsana-sonepat-hamirpur-ratlam-0-to-1-yrs-jobid-YxZf5ShN76JzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,HR Empower Consultancy,"databases , SQL , XML , ETL frameworks , Excel , SPSS , SAS , analytical skills , Javascript",https://www.timesjobs.com/job-detail/data-analyst-hr-empower-consultancy-bilaspur-sonepat-jabalpur-fatehgarh-sahib-vellore-0-to-1-yrs-jobid-ucRKp__SLASH__nEJ5ZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,HR Empower Consultancy,"databases , SQL , XML , ETL frameworks , Excel , SPSS , SAS , analytical skills , Javascript",https://www.timesjobs.com/job-detail/data-analyst-hr-empower-consultancy-bengaluru-bangalore-hyderabad-secunderabad-bhagalpur-bhilai-durg-vadodara-0-to-1-yrs-jobid-0G1SfmGoW5VzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Prashant Pandey,"Data Analysis , sql , Business Analyst , analyst , senior analyst",https://www.timesjobs.com/job-detail/data-analyst-prashant-pandey-mumbai-pune-1-to-6-yrs-jobid-V4FFX__SLASH__dCWxRzpSvf__PLUS__uAgZw==&source=srp
,SKYWALK VISA IMMIGRATION SERVICES LLP,"Analysis Design , Business Analysis , manager , Business Market Analysis , analysis",https://www.timesjobs.com/job-detail/analytics-manager-skywalk-visa-immigration-australia-null-1-to-6-yrs-jobid-zVSotG4AtLdzpSvf__PLUS__uAgZw==&source=srp
,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED,"full stack , java , Html , css , .net , javascript , php , Database , sql , oracle , reactjs , angularjs , Bootstrap , c# , asp.net , nodejs , Mongodb , Python",https://www.timesjobs.com/job-detail/full-stack-web-developer-genique-management-services-private-limited-pune-hyderabad-secunderabad-rajkot-bengaluru-bangalore-bhubaneshwar-6-to-11-yrs-jobid-KbuP__PLUS__Wx0hE9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,PRIMEX IMMIGRATION LLP,"Data Analysis ,dataanalyst, analyst",https://www.timesjobs.com/job-detail/data-analyst-job-in-canada-primex-immigration-llp-canada-3-to-8-yrs-jobid-YmX21jnUfptzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,PRIMEX IMMIGRATION LLP,"Data Analysis ,dataanalyst, Data Gathering",https://www.timesjobs.com/job-detail/data-analyst-job-in-australia-primex-immigration-llp-australia-3-to-8-yrs-jobid-tOWkNV__PLUS__azudzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,PRIMEX IMMIGRATION LLP,"Data Analysis , Data Visualization ,DataAnalyst, analyst",https://www.timesjobs.com/job-detail/data-analyst-job-in-singapore-primex-immigration-llp-singapore-3-to-8-yrs-jobid-6pUSz71A57VzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,PRIMEX IMMIGRATION LLP,"Analyst ,dataanalyst, Data Analysis , Data Visualization",https://www.timesjobs.com/job-detail/data-analyst-job-in-luxembourg-primex-immigration-llp-3-to-8-yrs-jobid-6FulQitOKT5zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,TALENT VAULT LLP,"Data Analysis ,dataanalyst, analyst , Data Clustering , Data visualization",https://www.timesjobs.com/job-detail/data-analyst-job-in-canada-talent-vault-llp-canada-3-to-8-yrs-jobid-MpA8tRpqM8xzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,TALENT VAULT LLP,"Data Analysis , Data Visualization ,DataAnalyst, analyst , senior analyst",https://www.timesjobs.com/job-detail/data-analyst-job-in-singapore-talent-vault-llp-singapore-3-to-8-yrs-jobid-k9k3CbyP9qBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,TALENT VAULT LLP,"Data Analysis ,dataanalyst, Analysis , Data Visualization , Data Analytics",https://www.timesjobs.com/job-detail/data-analyst-job-in-luxembourg-talent-vault-llp-3-to-8-yrs-jobid-DfuKgLyeEP1zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,TALENT VAULT LLP,"DataAnalyst, Data Analysis , Analyst , Data Cleaning , Data Validation , Data Management",https://www.timesjobs.com/job-detail/data-analyst-job-in-australia-talent-vault-llp-australia-3-to-8-yrs-jobid-EnMiY__SLASH__JKCvJzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,dataanalyst,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-hR4mlCKNN__SLASH__VzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Araca Solutions,": Experience with performance tuning Power BI datasets and reports with Direct and Import mode , Aggregations , Filter Contexts , Partitioning , Row Level Security",https://www.timesjobs.com/job-detail/lead-data-analyst-arting-digital-private-limited-bengaluru-bangalore-10-to-16-yrs-jobid-ueNEUv5TPNxzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Aerro outsourcing pvt ltd,"Data Analysis , Data Base Administration",https://www.timesjobs.com/job-detail/data-analyst-database-administrator-aerro-outsourcing-pvt-ltd-abu-dhabi-dubai-australia-canada-hong-kong-1-to-6-yrs-jobid-5e__PLUS__ALhO8vNxzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,data analysis,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-__PLUS__Apa0wY__PLUS__IM1zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,dataanalyst,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-bvGx7WJJ__PLUS__EhzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,.,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-ye20O9Xb__SLASH__2lzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,.,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-iuZTdZ982LdzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,.,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-o08FzWAHjMtzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Maxgen Technologies,.,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-iS1VyL4hjT1zpSvf__PLUS__uAgZw==&source=srp
Data Analysts,Zoxima Solutions Pvt. Ltd.,"reports ,DataAnalysts, MySQL",https://www.timesjobs.com/job-detail/data-analysts-zoxima-solutions-pvt-ltd-3-to-8-yrs-jobid-0FE6imVjfYVzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Veeva Systems,"interpersonal skills ,DataAnalyst, communication",https://www.timesjobs.com/job-detail/data-analyst-veeva-systems-germany-0-to-3-yrs-jobid-CR__SLASH__N3B9FTFFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"Bigdataanalyst,Dataanalyst, analytical tools , collecting data",https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-mumbai-chennai-1-to-2-yrs-jobid-ZB453Ly1al9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Veeva Systems,"interpersonal skills ,DataAnalyst, communication",https://www.timesjobs.com/job-detail/data-analyst-veeva-systems-germany-0-to-3-yrs-jobid-O4h__SLASH__HyLyo21zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,the modern dimension,"oracle , sas , bi , dashboards ,dataanalyst, alteryx , sql , tableau",https://www.timesjobs.com/job-detail/data-analyst-the-modern-dimension-delhi-delhi-ncr-bengaluru-bangalore-3-to-6-yrs-jobid-e8uz7Jlb7tNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"sas , consulting , program management , mobile ,dataanalyst, sql , sas / sql",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-mumbai-pune-4-to-8-yrs-jobid-WYlSXzYPClZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"visualization , sas , spotfire , dashboards ,dataanalyst, alteryx , software packages",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-chennai-4-to-8-yrs-jobid-h0oh__PLUS__cxHXAZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"data analysis , predictive analytics , spss ,dataanalyst, sql , factor analysis",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-4-yrs-jobid-ww9YII5CDJBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ADROIT LEARNING AND MANPOWER PVT LTD,"data analysis , dashboards ,dataanalyst, sql , tableau , infrastructure , data visualization",https://www.timesjobs.com/job-detail/data-analyst-adroit-learning-and-manpower-pvt-ltd-ahmedabad-7-to-10-yrs-jobid-WBvKyuoVhsFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"data analytics , sas , spss , dashboards ,dataanalyst, sql , tableau , statistical modeling , data visualization",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-5-yrs-jobid-uOkGoeLk6zpzpSvf__PLUS__uAgZw==&source=srp
